,Unnamed: 0,Location,Date,SO2,CO,O3,NO2,PM10,PM25
0,0,강원,2015-01-01,0.006,0.623,0.019,0.012,73.621,10.937
1,1,강원,2015-01-02,0.008,0.871,0.017,0.018,40.302,14.74
2,2,강원,2015-01-03,0.008,1.05,0.013,0.024,47.844,25.083
3,3,강원,2015-01-04,0.011,1.371,0.01,0.029,63.758,42.063
4,4,강원,2015-01-05,0.011,1.567,0.009,0.031,93.979,64.552
5,5,강원,2015-01-06,0.007,1.031,0.02,0.02,55.385,30.198
6,6,강원,2015-01-07,0.007,0.951,0.017,0.022,43.784,16.193
7,7,강원,2015-01-08,0.008,1.025,0.011,0.029,61.226,31.978
8,8,강원,2015-01-09,0.009,1.143,0.011,0.032,69.26,41.438
9,9,강원,2015-01-10,0.009,1.065,0.014,0.028,60.198,36.448
10,10,강원,2015-01-11,0.011,1.025,0.019,0.02,55.094,29.781
11,11,강원,2015-01-12,0.009,1.11,0.013,0.027,67.406,36.833
12,12,강원,2015-01-13,0.01,1.222,0.009,0.031,62.917,34.927
13,13,강원,2015-01-14,0.012,1.422,0.008,0.032,67.67,40.053
14,14,강원,2015-01-15,0.014,1.557,0.011,0.034,64.622,42.829
15,15,강원,2015-01-16,0.01,1.275,0.014,0.028,82.571,61.31
16,16,강원,2015-01-17,0.007,0.766,0.024,0.017,51.594,28.208
17,17,강원,2015-01-18,0.006,0.894,0.017,0.02,48.295,26.832
18,18,강원,2015-01-19,0.009,1.032,0.023,0.021,67.062,41.479
19,19,강원,2015-01-20,0.007,1.138,0.015,0.024,65.052,37.13
20,20,강원,2015-01-21,0.01,1.343,0.01,0.03,68.038,37.7
21,21,강원,2015-01-22,0.009,1.186,0.015,0.024,51.533,31.733
22,22,강원,2015-01-23,0.008,0.956,0.014,0.026,59.209,38.11
23,23,강원,2015-01-24,0.01,1.019,0.016,0.03,77.771,50.927
24,24,강원,2015-01-25,0.009,1.124,0.011,0.03,86.913,58.565
25,25,강원,2015-01-26,0.009,1.185,0.01,0.029,66.953,46.694
26,26,강원,2015-01-27,0.008,0.841,0.022,0.021,71.978,47.696
27,27,강원,2015-01-28,0.007,0.837,0.016,0.024,59.875,26.812
28,28,강원,2015-01-29,0.009,1.068,0.007,0.029,68.948,33.833
29,29,강원,2015-01-30,0.009,0.94,0.018,0.023,59.542,31.021
30,30,강원,2015-01-31,0.008,0.877,0.019,0.022,61.356,27.954
31,31,강원,2015-02-01,0.007,0.874,0.018,0.023,60.181,30.833
32,32,강원,2015-02-02,0.009,1.018,0.012,0.03,69.723,34.88
33,33,강원,2015-02-03,0.009,1.119,0.01,0.032,73.281,40.594
34,34,강원,2015-02-04,0.01,1.169,0.013,0.036,81.624,50.054
35,35,강원,2015-02-05,0.01,1.008,0.019,0.029,86.571,56.484
36,36,강원,2015-02-06,0.01,0.928,0.018,0.032,87.927,54.229
37,37,강원,2015-02-07,0.009,0.813,0.016,0.031,70.894,41.128
38,38,강원,2015-02-08,0.005,0.384,0.029,0.01,105.426,15.511
39,39,강원,2015-02-09,0.007,0.594,0.022,0.018,52.292,15.51
40,40,강원,2015-02-10,0.014,1.072,0.018,0.031,112.33,66.273
41,41,강원,2015-02-11,0.012,0.938,0.024,0.032,107.366,62.505
42,42,강원,2015-02-12,0.008,0.642,0.027,0.021,53.073,18.76
43,43,강원,2015-02-13,0.007,0.566,0.026,0.021,39.198,13.125
44,44,강원,2015-02-14,0.008,0.828,0.019,0.029,69.436,42.16
45,45,강원,2015-02-15,0.01,0.953,0.031,0.025,101.521,62.574
46,46,강원,2015-02-16,0.007,0.824,0.02,0.029,54.92,34.898
47,47,강원,2015-02-17,0.007,0.855,0.022,0.024,58.602,36.237
48,48,강원,2015-02-18,0.007,0.886,0.021,0.021,64.387,45.054
49,49,강원,2015-02-19,0.006,0.87,0.022,0.02,62.602,43.667
50,50,강원,2015-02-20,0.006,0.889,0.019,0.022,57.74,36.656
51,51,강원,2015-02-21,0.007,0.899,0.014,0.023,50.965,30.541
52,52,강원,2015-02-22,0.006,0.741,0.025,0.016,136.841,35.943
53,53,강원,2015-02-23,0.004,0.554,0.025,0.017,514.76,69.583
54,54,강원,2015-02-24,0.006,0.877,0.018,0.025,174.56,40.242
55,55,강원,2015-02-25,0.007,0.807,0.019,0.025,93.278,33.678
56,56,강원,2015-02-26,0.005,0.476,0.033,0.013,49.284,19.916
57,57,강원,2015-02-27,0.006,0.576,0.027,0.016,42.646,17.385
58,58,강원,2015-02-28,0.007,0.783,0.017,0.024,59.589,27.726
59,59,강원,2015-03-01,0.006,0.599,0.029,0.014,95.417,32.969
60,60,강원,2015-03-02,0.007,0.78,0.022,0.024,91.604,26.365
61,61,강원,2015-03-03,0.006,0.682,0.025,0.023,69.989,32.099
62,62,강원,2015-03-04,0.005,0.46,0.033,0.012,49.872,13.83
63,63,강원,2015-03-05,0.006,0.666,0.023,0.022,55.385,28.083
64,64,강원,2015-03-06,0.007,0.729,0.016,0.029,58.978,29.121
65,65,강원,2015-03-07,0.008,0.789,0.018,0.032,72.323,40.385
66,66,강원,2015-03-08,0.01,0.811,0.026,0.028,94.24,53.531
67,67,강원,2015-03-09,0.008,0.63,0.028,0.02,86.125,40.042
68,68,강원,2015-03-10,0.004,0.392,0.033,0.009,38.207,6.46
69,69,강원,2015-03-11,0.007,0.524,0.033,0.016,53.215,16.634
70,70,강원,2015-03-12,0.007,0.552,0.031,0.019,45.737,12.168
71,71,강원,2015-03-13,0.007,0.68,0.027,0.024,55.896,25.219
72,72,강원,2015-03-14,0.008,0.785,0.024,0.026,58.698,24.906
73,73,강원,2015-03-15,0.008,0.817,0.022,0.03,64.558,36.958
74,74,강원,2015-03-16,0.008,0.902,0.022,0.036,100.552,49.865
75,75,강원,2015-03-17,0.01,1.068,0.021,0.041,122.927,60.979
76,76,강원,2015-03-18,0.007,0.913,0.03,0.023,73.147,40.421
77,77,강원,2015-03-19,0.006,0.718,0.028,0.025,58.637,24.176
78,78,강원,2015-03-20,0.006,0.747,0.023,0.029,102.99,36.656
79,79,강원,2015-03-21,0.009,0.809,0.035,0.029,147.76,53.667
80,80,강원,2015-03-22,0.006,0.68,0.035,0.017,155.979,47.177
81,81,강원,2015-03-23,0.005,0.49,0.032,0.016,64.073,12.396
82,82,강원,2015-03-24,0.005,0.62,0.027,0.021,55.278,20.856
